,movie,kinopoisk ,level,subtitles
0,forrest gump,Rus sub,"A2/A2+, B1",Yes
1,finding nemo,Everything,A2/A2+,Yes
2,cast away,"Paid, Rus sub",A2/A2+,Yes
3,the invisible man 2020,"Paid, Rus lan",A2/A2+,Yes
4,back to the future,Rus sub,A2/A2+,Yes
5,twilight,"No subs, Paid",A2/A2+,Yes
6,toy story,Everything,A2/A2+,Yes
7,the cabin in the woods,"No subs, Paid",A2/A2+,Yes
8,up,Everything,A2/A2+,Yes
9,dredd,Rus lan,A2/A2+,Yes
10,ready or not,Rus sub,A2/A2+,Yes
11,the jungle book,Everything,A2/A2+,Yes
12,the terminal,Rus sub,"A2/A2+, B1",Yes
13,the man called flinstone,Nope,A2/A2+,Yes
14,batman begins,Everything,A2/A2+,Yes
15,kubo and the two strings,Nope,A2/A2+,Yes
16,soul,Everything,B1,Yes
17,the breakup,Rus sub,A2/A2+,Yes
18,the holiday,No subs,B1,Yes
19,sleepless in seattle ,Rus lan,A2/A2+,Yes
20,my big fat greek wedding,Nope,A2/A2+,Yes
21,groundhog day,Everything,B1,Yes
22,the lion king,Everything,A2/A2+,Yes
23,home alone,Everything,B1,Yes
24,catch me if you can,Rus sub,"B1, B2",Yes
25,mamma mia,"Paid, Rus lan",B1,Yes
26,harry potter 1,Rus sub,B1,Yes
27,matilda ,Rus lan,B1,Yes
28,her,Rus lan,"A2/A2+, B1",Yes
29,shrek,Rus sub,B1,Yes
30,pirates of the caribbean 1 ,Everything,B1,Yes
31,the terminator,Nope,B1,Yes
32,love actually ,Rus sub,B1,Yes
33,the lord of the rings,Nope,"B1, B2",Yes
34,the theory of everything,Rus sub,B2,Yes
35,were the millers,Nope,B1,Yes
36,meet the parents,Rus sub,B1,Yes
37,pulp fiction,,B2,Yes
38,the graduate,Nope,"B1, B2",Yes
39,a star is born,Nope,B2,Yes
40,the social network,Paid,B2,Yes
41,the hangover,,B2,Yes
42,knives out,Rus lan,B2,Yes
43,bridget jones diary,Rus lan,"B1, B2",Yes
44,die hard,Rus sub,B1,Yes
45,the secret life of walter mitty,Everything,B1,Yes
46,mrs doubtfire,Everything,B1,Yes
47,10 things i hate about you,No subs,B1,Yes
48,inside out,Everything,B1,Yes
49,the kings speech,,B2,Yes
50,warm bodies,"Everything, Paid",B1,Yes
51,beauty and the beast film,,B2,Yes
52,before i go to sleep,,B2,Yes
53,deadpool,Everything,B2,Yes
54,titanic,Everything,B2,Yes
55,dune,Everything,B2,Yes
56,venom,Everything,B2,Yes
57,before sunset,Nope,"B1, B2",Yes
58,lie to me series,,"B1, B2",No
59,the blind side ,Nope,B1,Yes
60,before sunrise,Nope,"B1, B2",Yes
61,clueless,Nope,B1,Yes
62,the usual suspects,Paid,B2,Yes
63,aladdin,Everything,A2/A2+,Yes
64,powder,"No subs, Paid",B1,Yes
65,fight club,Paid,B2,Yes
66,good will hunting,Paid,B2,Yes
67,all dogs go to heaven,Nope,A2/A2+,Yes
68,an  american tail,Nope,A2/A2+,Yes
69,notting hill,Rus lan,B1,Yes
70,pleasantville,Nope,B1,Yes
71,liar liar,Rus lan,B1,Yes
72,hook,Nope,A2/A2+,Yes
73,babe,Nope,A2/A2+,Yes
74,a knights tale,Everything,B2,Yes
75,the shawshank redemption,,"B1, B2",Yes
76,logan,,B1,Yes
77,braveheart,,B2,Yes
78,moulin rouge ,,"A2/A2+, B1",No
79,the greatest showman ,,A2/A2+,Yes
80,its a wonderful life,,A2/A2+,Yes
81,eurovision song contest the story of fire saga,,A2/A2+,Yes
82,mary poppins returns,,B1,Yes
83,the walking dead  series,,A2/A2+,No
84,the fault in our stars ,,"A2/A2+, B1",Yes
85,10 cloverfield lane,,B1,Yes
86,lion,,"B1, B2",Yes
87,house of gucci,,B2,Yes
88,kubo and the two strings,,B1,
89,charlie and the chocolate factory,,B1,
90,cinderella,,B1,
91,ferdinand,,B1,
92,inside out,,B1,
93,milada,,B1,
94,sleepless in seattle ,,B1,
95,the terminal,,B1,
96,while you were sleeping,,B1,
97,the fundamentals of caring,,B1,
98,cars,,B2,
99,despicable me,,B2,
100,enola holmes,,B2,
101,entrapment,,B2,
102,made of honor,,B2,
103,ratatouille,,B2,
104,the blind side,,B2,
105,the devil wears prada,,B2,
106,the intern,,B2,
107,the secret life of pets,,B2,
108,the legend of tarzan,,C1,
109,zootopia,,C1,
110,banking on bitcoin,,C1,
111,klaus,,C1,
112,oceans eleven,,C1,
113,oceans twelve,,C1,
114,bridget joness baby,,C1,
115,mona lisa smile,,C1,
